Font Name,Description
oswald,"Oswald is a reworking of the classic style historically represented by the 'Alternate Gothic' sans serif typefaces.
The characters of Oswald were initially re-drawn and reformed to better fit the pixel grid of standard digital screens.
Oswald is designed to be used freely across the internet by web browsers on desktop computers, laptops and mobile devices.
 
 
- Since the initial launch in 2011, Oswald was updated continually by Vernon Adams until 2014.
Vernon added Light and Bold weights, support for more Latin and Cyrillic languages, tightened the spacing and kerning and made many glyph refinements throughout the family based on hundreds of users' feedback. 
- In 2016 the Latin part of the family was updated by Kalapi Gajjar to complete the work started by Vernon. 
- In January 2019, it was updated with a variable font Weight axis. 
- In July 2023, the font was upgraded with a Cyrillic character set expansion, and the rendering of math symbols was improved.
 
 
To contribute, see  github.com/googlefonts/OswaldFont"
kanit,"Kanit means mathematics in Thai, and the Kanit typeface family is a formal Loopless Thai and Sans Latin design.
It is a combination of concepts, mixing a Humanist Sans Serif motif with the curves of Capsulated Geometric styles that makes it suitable for various uses, contemporary and futuristic.
A notable detail is that the stroke terminals have flat angles, which allows the design to enjoy decreased spacing between letters while preserving readability and legibility at smaller point sizes.
 
 
In Thai typeface design the formal loopless Thai typefaces have more simple forms than the conservative looped Thai designs, and this simplification has to be done properly in order to preserve the essential character of each letter. 
Sizes and positions of vowels and tone marks need to be managed carefully because they are all relevant to readability, legibility, and overall textures.
When designing Kanit, special care was taken with some groups of letters such as ก ถ ภ ฤ ฦ, ฎ ฏ, บ ป, and ข ช to ensure they are distinct and legible, because it might lead to confusion if each glyph is not clear enough.
 
 
Kanit is the first Thai font family to be hinted with  TTFAutohint , an easy-to-use hinting tool that is highly recommended.
 
 
The Kanit project is led by Cadson Demak, a type foundry in Thailand.
To contribute, see  github.com/cadsondemak/kanit"
firasans,"Designed to integrate with the character of the Mozilla FirefoxOS, the Fira typefaces also aim to cover the legibility needs for a large range of handsets varying in screen quality and rendering.
 
 
The Fira font family comes in 3 widths, all accompanied by italic styles. 
The package also includes a  Mono Spaced variant .
 
 
This project is led by  Carrois , a type foundry based in Berlin. 
To contribute, see  github.com/mozilla/Fira"
nunito,"Nunito is a well balanced sans serif typeface superfamily, with 2 versions:
    The project began with Nunito, created by Vernon Adams as a rounded terminal sans serif for display typography.
    Jacques Le Bailly extended it to a full set of weights, and an accompanying regular non-rounded terminal version,  Nunito Sans .
 
 
    To contribute, see  github.com/googlefonts/nunito ."
raleway,"Raleway is an elegant sans-serif typeface family. 
Initially designed by Matt McInerney as a single thin weight, it was expanded into a 9 weight family by Pablo Impallari and Rodrigo Fuenzalida in 2012 and iKerned by Igino Marini.
A thorough review and italic was added in 2016.
 
 
It is a display face and the download features both old style and lining numerals, standard and discretionary ligatures, a pretty complete set of diacritics, as well as a stylistic alternate inspired by more geometric sans-serif typefaces than its neo-grotesque inspired default character set.
 
 
It also has a sister family,  Raleway Dots .
 
 
More information can be found at  theleagueofmoveabletype.com/raleway  and  impallari.com/fonts/raleway 
 
 
To contribute to the project, visit  github.com/impallari/Raleway"
abrilfatface,"Abril Fatface is part of a bigger type family system, Abril, which includes 18 styles for all Display and Text uses. The titling weights are a contemporary revamp of classic Didone styles, display both neutrality and strong presence on the page to attract reader attention with measured tension by its curves, good color and high contrast.   Abril Fatface in particular is inspired by the heavy titling fonts used in advertising posters in 19th century Britain and France. The thin serifs and clean curves lend the typeface a refined touch that give any headline an elegant appearance. The Extended Latin character set supports over 50 languages, including those from Central and Northern Europe.   Abril is designed by TypeTogether - Veronika Burian & José Scaglione. The additional weights of Abril can be seen at  www.type-together.com/Abril"
alegreya,"Alegreya was chosen as one of 53 ""Fonts of the Decade"" at the ATypI Letter2 competition in September 2011, and one of the top 14 text type systems. It was also selected in the 2nd Bienal Iberoamericana de Diseño, competition held in Madrid in 2010. 
 Alegreya is a typeface originally intended for literature. Among its crowning characteristics, it conveys a dynamic and varied rhythm which facilitates the reading of long texts. Also, it provides freshness to the page while referring to the calligraphic letter, not as a literal interpretation, but rather in a contemporary typographic language. 
 The italic has just as much care and attention to detail in the design as the roman. The bold weights are strong, and the Black weights are really experimental for the genre. There is also a   Small Caps  sibling family. 
 Not only does Alegreya provide great performance, but also achieves a strong and harmonious text by means of elements designed in an atmosphere of diversity. 
 The Alegreya type system is a ""super family"", originally intended for literature, and includes serif and  sans serif  sister families. 
 Designed by Juan Pablo del Peral for  Huerta Tipográfica . 
 To contribute, see  github.com/huertatipografica/Alegreya ."
cabin,"Cabin is a humanist sans inspired by Edward Johnston's and Eric Gill's typefaces, with a touch of modernism.
Cabin incorporates modern proportions, optical adjustments, and some elements of the geometric sans.
It remains true to its roots, but has its own personality.
 
 
The Cabin font family comes in two variable fonts, roman and true italic, with a Weight range from Regular to Bold, and a Width range from normal to Condensed.
The stroke contrast is almost monolinear, although top and bottom curves are slightly thinned.
Counters of the b, g, p and q are rounded, and all are optically adjusted.
 
 
Cabin has wide language support, including full Latin coverage of Vietnamese, additional to all Western, Central, and South/Eastern European languages.
 
 
To contribute, see  github.com/impallari/Cabin"
courgette,"Foundry:  Sorkin Type Co 
 Courgette is a medium low contrast brushy italic script type. A brushy italic style is traditionally for display and unsurprisingly Courgette works well in display. However Courgette's low contrast and carefully made forms mean that it also works well in smaller sizes and even in massed text. 
 Source files are available from  Google Code .
To contribute to the project contact  Eben Sorkin ."
hind,"Hind is an Open Source typeface supporting the Devanagari and Latin scripts. 
Developed explicitly for use in User Interface design, the Hind font family includes five styles. 
Hind’s letterforms have a humanist-style construction, which is paired with seemingly monolinear strokes. 
Most of these strokes have flat endings: they either terminate with a horizontal or a vertical shear, rather than on a diagonal. 
This helps create clear-cut counter forms between the characters. 
In addition to this, Hind’s letterforms feature open apertures. 
The entire typeface family feels very legible when used to set text.
 
 
The Devanagari and Latin script components are scaled in relation to each other so that the Devanagari headline falls just below the Latin capital-height. 
In other words, the Devanagari base characters are 94% as tall as the Latin uppercase. 
Text set in the Devanagari script sits nicely alongside the Latin lowercase, too. 
Hind’s Devanagari vowel marks take forms that tends toward the traditional end of the design spectrum, while the knotted terminals inside of the base characters feature a treatment that appears more contemporary.
 
 
Each font in the Hind family has 1146 glyphs, which include hundreds of unique Devanagari conjuncts. 
These ensure full support for the major languages written with the Devanagari script. 
The Latin component’s character set is a basic western one, which enables typesetting in English and the other Western European languages. 
Hind is a solid choice for UI design, and a wise selection for electronic display embedding.
 
 
Manushi Parikh designed Hind for the Indian Type Foundry, who first published the fonts in 2014.
 
 
The Hind project is led by Indian Type Foundry, a type design foundry based in Ahmedabad, India. 
To contribute, see  github.com/itfoundry/hind"
ptserif,"PT Serif™ is the second pan-Cyrillic font family developed for the project “Public Types of the Russian Federation.” The first family of the project, PT Sans, was released in 2009.   The fonts are released with a libre license and can be freely redistributed: The main aim of the project is to give possibility to the people of Russia to read and write in their native languages.   The project is dedicated to the 300 year anniversary of the civil type invented by Peter the Great in 1708–1710. It was given financial support from the Russian Federal Agency for Press and Mass Communications.   The fonts include standard Western, Central European and Cyrillic code pages, plus the characters of every title language in the Russian Federation. This makes them a unique and very important tool for modern digital communications.   PT Serif is a transitional serif typeface with humanistic terminals. It is designed for use together with PT Sans, and is harmonized across metrics, proportions, weights and design.   The family consists of six styles: regular and bold weights with corresponding italics form a standard font family for basic text setting; two caption styles in regular and italic are for use in small point sizes.   Designed by Alexandra Korolkova,  Olga Umpeleva  and  Vladimir Yefimov  and released by  ParaType  in 2010."
manrope,"Manrope is an open-source modern sans-serif font family, designed by Mikhail Sharanda in 2018. In 2019, Mirko Velimirovic worked with Mikhail Sharanda to convert Manrope into a variable font. 
 To contribute, see  github.com/sharanda/manrope ."
balsamiqsans,"Balsamiq Sans is the handwritten font created for the Balsamiq Wireframes and has been in use since version 2.1. 
 The font contains 942 glyphs in 2 weights with italics/obliques, and includes the basic and extended latin character set, Cyrillic, Basic Symbols and Dingbats, Math and Technical Symbols, and punctuation 
 To contribute, see  github.com/balsamiq/balsamiqsans"
overpass,"Overpass is a free, Open Source typeface designed by  Delve Fonts . The design of Overpass is an interpretation of the well-known “Highway Gothic” letterforms from the Standard Alphabets for Traffic Control Devices published by the U.S. Federal Highway Administration. Starting from those specifications, critical adjustments were made to the letterforms to create an optimal presentation at smaller sizes on-screen and later for display sizes, especially in the lighter weights. 
 Also see  Overpass Mono! 
 Overpass can be used for everything from extended passages of text in print and online, to UI design, posters, wayfinding signage, and environmental graphic design. 
 
 Designers: Delve Withrington, Dave Bailey, and Thomas Jockin 
 TrueType Hinting: Jason Campbell 
 Direction: Dave Crossland, Andy Fitzsimon, Jakub Steiner, and Ben Dubrovsky 
 Special thanks: Aaron Bell for his diligence in preparing v4.0 for release and Michael Luton for his insight and support. 
 
 To contribute to the project, please visit  https://github.com/RedHatOfficial/Overpass"
saira,"Saira is a sans serif system.
It features a huge range of weights and widths, ready for all kind of typographic challenges.
 
 
This is the Normal family, which is part of the superfamily along with
 Semi Condensed ,
 Condensed , and
 Extra Condensed ,
each with 9 weights.
 
 
    Saira has been upgraded in 2020 to a variable font with axes for weight and width, adding expanded widths to the superfamily.
 
 
This typeface was designed by Hector Gatti and developed by the Omnibus Type team.
To contribute to the project, visit  github.com/Omnibus-Type/Saira"
asap,"Asap (""as soon as possible"") is a contemporary sans-serif family with subtle rounded corners. This family, specially developed for screen and desktop use, offers a standarised character width on all styles, which means lines of text remain the same length. This useful feature allows users to change type styles on-the-go without reflowing a text body.  
 Asap has been upgraded to a variable font in 2021, and in October 2022, this variable is completed by a width axis and a larger scope of weight. Axes weight now go from Thin to Black and width from Condensed to Expanded. 
 Asap is based on Ancha (Pablo Cosgaya, Hector Gatti). It is designed by Pablo Cosgaya and Omnibus-Type Team, with the collaboration of Andrés Torresi. To contribute, see  github.com/Omnibus-Type/Asap ."
crimsonpro,"Crimson Pro is a serif typeface family: Contemporary, clear, classic and rounded/open. Something for a college textbook, editorial websites and any reading experience with book-length texts
It contributes to the tradition of beautiful Garamond-inspired typefaces, often called “Garalde” or “Old Style,” and has 8 named weights, in Roman and Italic, and is available as a Variable Font with a Weight axis.
 
 
The first Crimson design was initiated by Sebastian Kosch in 2009, and he later completely redrew a new version called Crimson Prime.
Google commissioned Jacques Le Bailly to review both typefaces, and develop Crimson Pro as a new design that synthesises both designs into a final authoritative family, first released in January 2019.
All decisions were made to enable better readability for longer texts and the ability to make good and diverse typography.
 
 
The Crimson Pro project is led by Jacques Le Bailly, a type designer based in Den Haag, Netherlands. 
To contribute, see  github.com/Fonthausen/CrimsonPro"
josefinsans,"The idea of this typeface is to be geometric, elegant, with a vintage feeling, for use at larger sizes.
It is inspired by geometric sans serif designs from the 1920s.
The x-height is half way from baseline to cap height, an unusual proportion.
 
 
There is a sister family,  Josefin Slab 
 
 
In December 2019, it was updated with a Variable Font ""Weight"" axis.
 
 
To contribute, see  github.com/googlefonts/josefinsans ."
teko,"Teko is an Open Source typeface that currently supports the Devanagari and Latin scripts. This font family has been created for use in headlines and other display-sized text on screen. Five font styles make up the initial release. 
 Display families with extensive character sets are rare for any script. With Indian typefaces, however, large character sets are even less common. ITF’s designs are an exception. The Teko typeface features letterforms with low stroke contrast, square proportions and a structure that appears visually simple. 
 The Regular, Medium and Semibold fonts are recommended for use in long headlines, while Bold is intended primarily for setting just one or two words. The Light is a beautiful variant that may be put to exceptionally good use in large headlines on websites. At display sizes, Teko works equally well on screen or in print. Each font contains 1090 glyphs, offering full support for the conjuncts and ligatures required by languages written with the Devanagari script. Teko is an excellent choice for use in advertising or for news tickers on television screens (breaking news, etc.) 
 Manushi Parikh designed the Teko typeface for the Indian Type Foundry, who published it in 2014. 
 In 2023, Marc Foley converted the family to a variable font. 
 To contribute, see  github.com/googlefonts/teko ."
questrial,"Questrial is the perfect font for body text and headlines on a website.
It's modern style, suited with past characteristics of great typefaces, make it highly readable in any context.
The full-circle curves on many characters make Questrial a great font to blend seamlessly with other fonts while still maintaining it's uniqueness.
 
 
It is heavily influenced by Swiss design, similar to a grotesk style which is closely found in Helvetica.
The numbers in Questrial are tabular figures so they can be used in tables and forms to enable maximum satisfaction.
 
 
Questrial language support includes African Latin and full coverage of Vietnamese, additional to all Western, Central, and South-Eastern European languages.
 
 
To contribute see  github.com/googlefonts/questrial"
jost,"Jost is an original font created by indestructible type*. It is inspired by 1920s German sans-serifs. This is version 3.7.

Jost is designed and maintained by Owen Earl, who is the creator of the font foundry indestructible type*.

in 2020 Owen Earl, and Mirko Velimirovic worked together to make Jost a variable font. 
 If you have questions or want to help out, please contribute at
 github.com/indestructible-type/Jost ."
indieflower,"This handwriting font feels carefree and open to me with the bubbly, rounded edges. It is easy to read and a bit bolder than some of my other fonts."
vibes,"Vibes is a typeface designed for Arabic, as well as English languages. It was designed to be a mixture that radiates energy, flexibility, and cuteness. It is specially designed to be used for title texts. Acknowledgements goes to Nadine Chahine, where this work wouldn't incepted without her help. 
 To contribute, see  github.com/bluemix/vibes-typeface ."
anton,"Anton is a reworking of a traditional advertising sans serif typeface. The
letter forms have been digitised and then reshaped for use as a webfont, the
counters have been opened up a little and the stems optimised for use as bold
display font in modern web browsers.
 
 
Anton language support includes now African Latin and full coverage of Vietnamese, additional to all Western, Central, and South-Eastern European languages.
 
  
To contribute see  github.com/googlefonts/AntonFont ."
volkhov,"Volkhov is a low-contrast seriffed typeface with a robust character, intended for providing a motivating reading experience.   As a four-weight family it is well-suited for complex text environments being economic and legible, contemporary and prominent. Many of its design solutions relate to this purpose: large open counters, rather short descenders, and brutal asymmetric serifs.   Spacing in Bold is slightly increased compared to the normal weight, because the bold mass is mostly grown inwards. The Italic has a steep angle and a distinctive calligraphically reminiscent character, as a counterpart to the rigorous Regular.   Designed by Ivan Petrov."
archivo,"Archivo is a grotesque sans serif typeface family originally designed for highlights and headlines. This family is reminiscent of late nineteenth century American typefaces. The technical and aesthetic characteristics of the font are both crafted for high performance typography. It was designed to be used simultaneously in print and online platforms and supports over 200 world languages. 
 Archivo has been upgraded to a variable font in 2021. The weight and width axes allow a wide variety of styles, from Thin to Black and from ExtraCondensed to Expanded. 
 Archivo is designed by Héctor Gatti and Omnibus-Type Team. To contribute to the project visit  github.com/Omnibus-Type ."
lexend,"Lexend fonts are intended to reduce visual stress and so improve reading performance. Initially they were designed with dyslexia and struggling readers in mind, but Bonnie Shaver-Troup, creator of the Lexend project, soon found out that these fonts are
    also great for everyone else.
 
 
    The first set of Lexend fonts by Thomas Jockin (
     Deca ,
     Exa ,
     Giga ,
     Mega ,
     Peta ,
     Tera ,
     Zetta ) becomes wider and more openly spaced (also known as ""tracked out""). This new version of Lexend is a variable font with a weight axis.
 
 
    Please note that the initial release of this font had a lighter Regular weight. It has been decided for the update of July 2021 to align the Regular weight with the one of Lexend Deca which is slightly bolder. Lexend and Lexend Deca are therefore the
    same (for now…). Ultimately this version will offer a HyperExpansion axis which will allow variation of inner and outer space of letterforms. 
 
    True to Bonnie’s vision, Lexend fonts are freely available for all since 2019 in Google Fonts.
 
 
    To contribute, see  github.com/googlefonts/lexend . For more information, see  lexend.com .
 
 
    To learn more, read  Clean and clear: making reading easier with Lexend (English),  Partnering to change how the world reads (English),
    and  Eine Partnerschaft mit dem Ziel, das Leseerlebnis weltweit zu verändern (Germany)."
kalam,"Kalam is a handwriting-style typeface supporting the Devanagari and Latin scripts.
This is an Open Source font family first published by the Indian Type Foundry in 2014.
 
 
Even though Kalam's letterforms derive from handwriting, the fonts have each been optimised for text on screen.
All in all, the typeface is a design that feels very personal.
Like many informal handwriting-style fonts, it appears rather fresh and new when seen on screen or printed on the page.
Kalam's letterforms feature a very steep slant from the top right to the bottom left.
They are similar to letters used in everyday handwriting, and look like they might have been written with either a thin felt-tip pen, or a ball-point pen.
In the Devanagari letterforms, the knotted-terminals are open, but some other counter forms are closed.
Features like these strengthen the feeling that text set in this typeface has been written very quickly, in a rapid manner.
 
 
Kalam is available in three weights: Light, Regular and Bold.
Each font contains 1,025 glyphs, which includes many unique Devanagari conjuncts.
These ensure full support for the major languages written with the Devanagari script.
The Latin component's character set is a basic western one, which enables typesetting in English and the other Western European languages.
Lipi Raval and Jonny Pinhorn developed the family for ITF; Raval designed the Devanagari component while she and Pinhorn worked together on the Latin.
 
 
The Kalam project is led by Indian Type Foundry, a type design foundry based in Ahmedabad, India. To contribute, see  github.com/itfoundry/kalam 
 
 
 Updated July 2015:  Updated to v2.001 with improved OpenType features."
signika,"Signika variable font is a sans-serif with a gentle character, developed for wayfinding, signage, and other media where clarity of information is required.
    It has a low contrast and tall x-height to improve readability of texts in small sizes as well as in large distances from the reader.
    Being a typical signage typeface it is inspired by typefaces such as Ronnia, Meta, and Tahoma.
 
 
    The typeface comes with a wide character set supporting Western European languages, Polish, and Czech.
    The figures are designed as tabular.
 
 
    In July 2023, a GRAD axis is added to solve the optical effects of negative text setting (dark color text on light background).
 
 
    To contribute, see  github.com/googlefonts/Signika"
yanonekaffeesatz,"""Yanone Kaffeesatz"" was first published in 2004 and is Yanone’s first ever finished typeface. Its
    Bold is
    reminiscent of 1920s coffee house typography, while the rather thin fonts bridge the gap to present times. Lacking
    self confidence and knowledge about the type scene, Yanone decided to publish the family for free under a  Creative Commons License . A decision that
    should turn out one of the best he ever made. It has been downloaded over 100,000 times to date, and you can witness
    Kaffeesatz use on German fresh-water gyms, Dubai mall promos and New Zealand McDonalds ads. And of course on coffee
    and foodstuff packaging and café design around the globe. 
 In 2009 he reworked much of the typeface and it got published in FontShop’s  FontFont Library  under the new name  FF Kava . You can read more about it in an extensive article by
    Yves Peters on  FontFeed . 
 Updated in December 2013 with Cyrillic, designed by Sol Matas and Juan Pablo del Peral at  Huerta Tipográfica . 
 To contribute, see  github.com/yanone/kaffeesatz ."
patuaone,Patua One is a slab serif text type designed for use in small sizes. It has low contrast and strong serifs and is intended to generate visual impact. Its thick serifs are curved to provide it with a touch of smoothness and gesture.
titilliumweb,"Titillium is born inside the Accademia di Belle Arti di Urbino as a
didactic project Course Type design of the Master of Visual Design Campi
Visivi. 
 The aim of the project is the creation of a collective fonts released under
OFL. Each academic year, a dozen students work on the project, developing it
further and solving problems. Any type designer interested in the amendment or
revision of Titillium is invited to co-operate with us, or develop their own
variants of the typeface according to the terms specified in the Open Font
license. We also ask all graphic designers who use Titillium in their projects
to  email us some examples 
of the typeface family in use, in order to prepare a case histories
database. 
 Three years after the birth of Titillium, the project is still evolving,
and even we don’t know what it will become in the future. 
 Special thanks go to: 
Prof. Luciano Perondi, design and curation 
Prof. Marcello Signorile, coordination 
Prof. Manuel Zanettin, web project supervision  
Diego Giusti, design of the first prototype"
arvo,"Arvo is a geometric slab-serif typeface family suited for screen and print. 
The family includes 4 cuts: Roman, Italic, Roman Bold, Bold Italic. 
It is a libre font, first published in Google Fonts. 
The flavour of the font is rather mixed. 
It's monolinear-ish, but has a tiny bit of contrast (which increases the legibility a little in Mac OS X.)
 
 
The name Arvo is a typical Estonian man's name, but is not widely used today. 
In the Finnish language, Arvo means ""number, value, worth."" Considering how much programming is involved in hinting, all these meanings are true.
 
 
In December 2013 Arvo 2.0.1 was released, with support for languages that use the Cyrillic script, the latin script is expanded to Adobe's  Glyph List 3, and many truetype hints are improved especially for in smaller sizes (regular cuts start now from 9ppem). 
Also added PANOSE classification numbers, cleaned up character palette order, and many more smaller bug fixes were made.
 
 
 Updated August 2015:  Bold and Bold Italic styles were updated to allow document embedding.
 
 
Arvo – это брусковый шрифт из семейства геометрических шрифтов с прямоугольными засечками. 
Данный шрифт создан для использования на экранах, а также в печатном виде (офсетная печать и т.д). 
Шрифт состоит из четырёх начертании: обычный, курсив, жирный и жирный курсив.Arvo распространяется на основании лицензии OFL. 
Благодаря которой любой пользователь может скачать/загрузить данное семейство шрифтов и пользоваться ими по своему усмотрению (смотри подробнее  scripts.sil.org/OFL ). 
Для улучения читаемости на экранах, шрифт имеет детальное оптимирование Truetype (хинтинг), что в системах Windows и Linux предоставляет возможность набора мелкого шрифта, не теряя при этом качества читаемости.

 
Краткая биография
 
 
Антон Коовит родился в 1981 году, в городе Таллинне. 
Изучал графический дизайн в Академии Художеств Эстонии, а также в ESAG городе Париже и в Амстердаме Академии Геррит Рейтвельда, Голландия. 
 
После окончания изучения графического дизайна Антон Коовит направился на учёбу в Королевскую Академию Художеств Гааги (КАВК den Haag) для приобетения  градуса магистра по шрифтовому дизайну. 
После окончания магистротурного обучения Антон Коовит основал фирму Кхорк ОО, которая действует по широкому профилю: оформление выстовок, логотипы, плакаты и шрифты. 
С 2007 года он проживает в Берлине. 
Кроме создания проектов в области типографии он преподаёт типографию, а также проводид консультативное обучение шрифтовому дизайну.
 
 
Известные шрифты Антона Коовита: Adam, Aleksei, GQ Slab, U8, Arvo."
